Block Height,Block ID,Tx Fee,Block Reward,Miner Claimed,Unclaimed
164254,0000000000000ab91f3b5b881fea135430fb282b679eda7823daeb9af44ed117,4500000,5000000000,5000000000,4500000
164269,00000000000007cab495e68d14bf209e9a089d4bd8239750b0e150ac09493c65,3250000,5000000000,5000000000,3250000
164280,0000000000000bf33258d39afe3918c03246b44277d693a43afe4f3ce95c2566,703234,5000000000,5000000000,703234
164295,0000000000000836f5afe9a582f2cced32d1ae9984e78a926b4ed823ac674a6c,2800000,5000000000,5000000000,2800000
164296,0000000000000a5028c44f53fb7dbf26d28997dd4cd6e6d9d2da110c486cff43,1400000,5000000000,5000000000,1400000
164298,0000000000000922d4f0a771abcfed1e638ba4c89537f3d0646a792b440953eb,1300003,5000000000,5000000000,1300003
164315,000000000000048c2c16b6821060a69a67e2e07dbff720aed27323ae32e31ecc,50000,5000000000,5000000000,50000
164322,000000000000091d17f8747ded57bcbfc5828ed7891e705ae02483e01dd610f5,16982811,5000000000,5000000000,16982811
164334,0000000000000401a5c939bbf679a4d6879cd695f89580089592deea0ff1b67d,1700000,5000000000,5000000000,1700000
164340,00000000000009609475200710a5dc8385a76dd2e9d2c5b4b5c37e8c385dbb24,50000,5000000000,5000000000,50000
164362,0000000000000c101e7af55ed60b28d20d616f415f5d3a9e9f160fe79b40cf1a,1400000,5000000000,5000000000,1400000
164365,0000000000000c325f82ca80bd984ca04a4258905de2625e020296f2ff78688f,1100000,5000000000,5000000000,1100000
164380,000000000000058ab5c192f2ea43c5344a8144fae095f98d081b644dd47671ec,795478,5000000000,5000000000,795478
164408,00000000000006af231af248b6125e886daf17f01e62aeab15593597461d3861,150000,5000000000,5000000000,150000
164441,0000000000000b6155ff2946566d427ad993a08083dfb13a26f9a1c6bc43cb35,91455943,5000000000,5000000000,91455943
164467,000000000000098a0adb1934bee96bf43430257c9ed8759a219e45bf5758785c,3150000,5000000000,5000000000,3150000
164480,000000000000058569ac1a0aac80a490d64876187cc01869845a92073e99f620,7560000,5000000000,5000000000,7560000
164496,00000000000003e7f2d54ee7e2d6867c86ffeb7015b8eddf5970829c42552c9c,100000,5000000000,5000000000,100000
164528,00000000000001ae67fa1c3a5e0775728e3f076c5192107f508a0b231e9bea55,2750000,5000000000,5000000000,2750000
164559,00000000000002872e6d64da104df826a51383ae6f469b1094e421ca39a681c5,300000,5000000000,5000000000,300000
164570,00000000000002d5f4f5e833c487ded8d261a97f5cfc46623cc6e91679baa07f,11851000,5000000000,5000000000,11851000
164572,000000000000029959d7e3a0e0b9182bc7b97ea5270c3fadd008a75932a48ec9,3850000,5000000000,5000000000,3850000
164615,00000000000007be0776e66b7e1376759feffb1eb9b712d5c7f8fc01f172ced5,3308883,5000000000,5000000000,3308883
164622,000000000000096240d38ee0b43781962c6a362780fb5d516474d9b3972463ac,1090961,5000000000,5000000000,1090961
164671,000000000000015c2cab2c7163913d4e420e2b3cb9f59012e69aaa1c1a6c2190,400000,5000000000,5000000000,400000
164700,000000000000007df2f0c864bfae804dcc6779406553c5a6b5ec4a21c96d381a,6000000,5000000000,5000000000,6000000
164719,0000000000000522831207aceedaa57efeda243dff26adc48826ac357a3cf065,50000,5000000000,5000000000,50000
164742,00000000000007e4a096ea0e456ba90ea6bbd10f5c298b01df3289e7959bdf53,250000,5000000000,5000000000,250000
164851,00000000000003225ed367c832db44c8bdbbdb18be25a36a179b558720428301,15901088,5000000000,5000000000,15901088
164921,00000000000009932dc6bde5fc4b515ddb3d75684fe7b0423a43c7fe43ef222a,7910000,5000000000,5000000000,7910000
164967,000000000000082402bdb0fc52d2a85dab2c17c8f85e8c3a550e7c4df9a77d80,3750000,5000000000,5000000000,3750000
164984,0000000000000375991391bbefecaf7ab8a8980d50a50f6e864e26c2990523b2,2850000,5000000000,5000000000,2850000
164996,000000000000019add8a53e16d6b81b5c946db13db05cdeea913a6deea96872c,3466773,5000000000,5000000000,3466773
165048,00000000000006e83d0cab5b455b49973f0b2793a85633bab37655b5f7193c4e,2550000,5000000000,5000000000,2550000
165062,00000000000004392cf18f8b87e1e6de6ca49a380b9075ec6fecc71cebe3948d,3700000,5000000000,5000000000,3700000
165108,0000000000000b6ae8ef1b870a076efe4bd00b034cf31cb472adce427910f60c,150000,5000000000,5000000000,150000
165109,0000000000000002cc3addfc5ca53fbdf031e5dba8a1b80ac0b65825a81d839a,3950000,5000000000,5000000000,3950000
165124,0000000000000b0e7c5cd5f12243c458b1b65180c58e3f8e4fe28fed1df8db4a,7200000,5000000000,5000000000,7200000
165177,0000000000000c888507bfbdcd15194dce9417f17a27dccabab920218debe6d0,2541361,5000000000,5000000000,2541361
165194,00000000000003f78516a0a67a25672a31d7b0944b55a0ba27dddac2fec8da6a,2008000,5000000000,5000000000,2008000
165283,0000000000000b61f9b61c9e04135242afcb3fde7ec79e07b51184aa6272d734,2616143,5000000000,5000000000,2616143
165776,00000000000001be7302aaac88234a50de889285e24f070ec82148b1806268d3,250000,5000000000,5000000000,250000
166250,00000000000000e0051ff37e80df6d9681be86d7ed8451fa9479e0b6cd298c3d,3260524,5000000000,5000000000,3260524
166263,00000000000004674cb3345348245e74fd1805ced1bece24c3893e015b459d12,10500000,5000000000,5000000000,10500000
166486,00000000000007e591d873cb7656eacdbc380c7dc4d9d8cf76ae50d973c33f19,2850000,5000000000,5000000000,2850000
166698,00000000000009a29f46fd692e87d3facc94a5326d771b8d5bc30c6d206ff9bc,1400000,5000000000,5000000000,1400000
166890,00000000000006dae2bb09c0ed756696cbf656fbfa5f20f054d972509e575a4b,780436,5000000000,5000000000,780436
167013,00000000000004b5ed65d7d423501cc085a913e3767354d932445ed4e02808d9,6200000,5000000000,5000000000,6200000
167035,00000000000006a0d1a39c67cd8e0f399a9667513a94c55cfd6be7c08262c423,6750000,5000000000,5000000000,6750000
167074,0000000000000701e9821da29db9658aab007df084e52253251fe2f915e729b8,283601,5000000000,5000000000,283601
167168,0000000000000095ea76585cd615ff2c945abbd33fc776c191692806ad6dbae3,100000,5000000000,5000000000,100000
167204,0000000000000ae7469e0a6230494b1af9bec321018b792dcc5b0772e5a1dd92,1750000,5000000000,5000000000,1750000
